WKT,full_id,osm_id,osm_type,golf,natural,type,surface,highway,golf_cart,bicycle,ref,par,layer,path
"MULTIPOLYGON (((-76.5789197 39.320164,-76.5789258 39.3201414,-76.578912 39.3201189,-76.5788997 39.3201058,-76.5789043 39.320082,-76.5789089 39.3200583,-76.5789013 39.3200369,-76.5788675 39.3200488,-76.5788536 39.3200797,-76.5788536 39.3201189,-76.5788767 39.3201593,-76.5789197 39.320164)))",w1035393728,"1035393728",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5766529 39.3206866,-76.5765773 39.320713,-76.5765187 39.3207338,-76.5764895 39.320747,-76.5764992 39.3207658,-76.5765285 39.3207658,-76.5765626 39.3207451,-76.5766138 39.3207338,-76.5766577 39.3207187,-76.5766529 39.3206866)))",w1035393735,"1035393735",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5766138 39.3204376,-76.5765334 39.3204338,-76.5764041 39.3204451,-76.57637 39.3204489,-76.5763554 39.3204697,-76.5763651 39.3204904,-76.5764163 39.3204904,-76.5764944 39.3204829,-76.5765651 39.320481,-76.5766138 39.3204791,-76.5766334 39.3204602,-76.5766138 39.3204376)))",w1035393736,"1035393736",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5775271 39.3189253,-76.5775213 39.3188984,-76.5775562 39.3188684,-76.577591 39.3188549,-76.577622 39.3188594,-76.5776452 39.3188789,-76.5776336 39.3188999,-76.5775871 39.3189208,-76.5775639 39.3189313,-76.5775271 39.3189253)))",w1035393742,"1035393742",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5779355 39.3190631,-76.5779277 39.3190331,-76.5779413 39.3189672,-76.577951 39.3189448,-76.5779839 39.3189328,-76.5780071 39.3189358,-76.5780129 39.3189538,-76.5779877 39.3189792,-76.5779781 39.3190047,-76.5779723 39.3190301,-76.5779723 39.3190556,-76.5779355 39.3190631)))",w1035393743,"1035393743",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5820102 39.3182657,-76.5819502 39.3182552,-76.5818882 39.3182372,-76.5818263 39.3182387,-76.5817973 39.3182298,-76.5817624 39.3182178,-76.5817315 39.3182193,-76.5817083 39.3181998,-76.5817063 39.3181774,-76.581745 39.3181624,-76.5817741 39.3181893,-76.581836 39.3182058,-76.581865 39.3182013,-76.5818844 39.3181923,-76.5819289 39.3182163,-76.5819715 39.3182268,-76.5820198 39.3182253,-76.5820527 39.3182372,-76.5820102 39.3182657)))",w1035393748,"1035393748",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5817121 39.3184663,-76.5816812 39.3184663,-76.5816637 39.3184469,-76.5816502 39.3184244,-76.5816657 39.3183945,-76.5816889 39.318393,-76.5816928 39.3184304,-76.5817141 39.3184454,-76.5817121 39.3184663)))",w1035393749,"1035393749",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.581805 39.3185202,-76.5817741 39.3185097,-76.5817489 39.3184948,-76.5817547 39.3184738,-76.5817837 39.3184678,-76.5818186 39.3184723,-76.5818341 39.3184888,-76.5818341 39.3185067,-76.581805 39.3185202)))",w1035393750,"1035393750",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5822097 39.319482,-76.5821846 39.319497,-76.582173 39.3195284,-76.5821768 39.3195658,-76.5821768 39.3195988,-76.5821788 39.3196257,-76.5821884 39.3196422,-76.5822059 39.3196482,-76.5822291 39.3196437,-76.5822407 39.3196212,-76.5822271 39.3195943,-76.5822252 39.3195688,-76.582233 39.3195449,-76.5822426 39.3195239,-76.5822504 39.3195015,-76.5822097 39.319482)))",w1035396265,"1035396265",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
"MULTIPOLYGON (((-76.5821575 39.3196886,-76.5821188 39.3196871,-76.5820917 39.3196991,-76.5820375 39.3196931,-76.5819949 39.3196826,-76.5819659 39.3196736,-76.5819562 39.3196886,-76.582022 39.3197096,-76.582082 39.3197185,-76.5821246 39.319723,-76.5821575 39.3197156,-76.5821575 39.3196886)))",w1035396266,"1035396266",way,bunker,sand,,,,,,,,bunkers,"memory?geometry=MultiPolygon&crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=golf:string(0,0)&field=natural:string(0,0)&field=type:string(0,0)&field=surface:string(0,0)"
